starting new log
CHALLENGE_MWPPpuklEdFgn2qXzd48WqNKaHcKxg.png, False, (130, -160), 42x3ex, 0x8ex42x3ex, CHALLENGE_MWPPpuklEdFgn2qXzd48WqNKaHcKxg_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.9319999218, 4.02900004387
CHALLENGE_7mIhHP4UivbmTrCIwJaX0vpI4OzkcM.png, True, (230, -150), 76x3ox, 0x8ex76x3ox, CHALLENGE_7mIhHP4UivbmTrCIwJaX0vpI4OzkcM_answer<NUM>.png, jpeg-size-solver-q-10, , [], 6.05100011826, 4.07800006866
CHALLENGE_2FxroqT9xT9HPHPqTy6FEAkeL6y5sM.png, True, (220, -150), 6sx3ox, 0x8ex6sx3ox, CHALLENGE_2FxroqT9xT9HPHPqTy6FEAkeL6y5sM_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.45299983025, 4.03299999237
CHALLENGE_6pVwJpmddKIPwWmvky3q0sItHTZmsf.png, True, (120, -270), 3ox0x, 0x8ex3ox0x, CHALLENGE_6pVwJpmddKIPwWmvky3q0sItHTZmsf_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.03000020981, 4.0720000267
CHALLENGE_coJcuDthFkBSUIoWhcOg2R0NMeilTp.png, True, (240, -220), 7gx1ix, 0x8ex7gx1ix, CHALLENGE_coJcuDthFkBSUIoWhcOg2R0NMeilTp_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.91199994087, 4.47399997711
CHALLENGE_gzmugsqG4Z8Sqr6ntzoSbv9tqBo162.png, False, (160, -140), 50x42x, 0x8ex50x42x, CHALLENGE_gzmugsqG4Z8Sqr6ntzoSbv9tqBo162_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.61899995804, 4.24099993706
CHALLENGE_n9t8gOBL0XIQdAD9T4qyVaoPKRKxbT.png, False, (140, -140), 4cx42x, 0x8ex4cx42x, CHALLENGE_n9t8gOBL0XIQdAD9T4qyVaoPKRKxbT_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.992000103, 3.41999983788
CHALLENGE_wNHSS1r9kM9eRx10aVryiwcvnH01Nk.png, True, (130, -260), 42xax, 0x8ex42xax, CHALLENGE_wNHSS1r9kM9eRx10aVryiwcvnH01Nk_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.26799988747, 3.43099999428
CHALLENGE_o1fNaggscT425pHFcSulHDMOcmuCWz.png, True, (-10, -260), -axax, 0x8ex-axax, CHALLENGE_o1fNaggscT425pHFcSulHDMOcmuCWz_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.90799999237, 3.89300012589
CHALLENGE_gbvBMsMRKepzPtooDtuSEc2wpGVtRi.png, False, (100, -270), 34x0x, 0x8ex34x0x, CHALLENGE_gbvBMsMRKepzPtooDtuSEc2wpGVtRi_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.9319999218, 3.48099994659
CHALLENGE_TyybhO2kseZ0H0KLCdmDNyEU3Nbcm8.png, False, (150, -170), 4mx34x, 0x8ex4mx34x, CHALLENGE_TyybhO2kseZ0H0KLCdmDNyEU3Nbcm8_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.41900014877, 3.4319999218
CHALLENGE_l7AzbIRExhRAsvQBCCbU0k4zHTgCMo.png, True, (10, -200), ax26x, 0x8exax26x, CHALLENGE_l7AzbIRExhRAsvQBCCbU0k4zHTgCMo_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.14699983597, 3.47400021553
CHALLENGE_z7pb6bntmwvyPFLbZ5P854GvxsAVdq.png, False, (120, -180), 3ox2qx, 0x8ex3ox2qx, CHALLENGE_z7pb6bntmwvyPFLbZ5P854GvxsAVdq_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.61400008202, 3.44499993324
CHALLENGE_Mwsf55wmHzovZvGRpch0p9WmCQOwTC.png, True, (160, -250), 50xkx, 0x8ex50xkx, CHALLENGE_Mwsf55wmHzovZvGRpch0p9WmCQOwTC_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.00900006294, 3.3789999485
CHALLENGE_1QTaNozm3LndbtaFcsNdkO9BC6DT3i.png, True, (180, -180), 5kx2qx, 0x8ex5kx2qx, CHALLENGE_1QTaNozm3LndbtaFcsNdkO9BC6DT3i_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.51399993896, 3.34500002861
CHALLENGE_MgODIfqdwVxCALQoTOQtTxW4ONoT76.png, False, (110, -170), 3ex34x, 0x8ex3ex34x, CHALLENGE_MgODIfqdwVxCALQoTOQtTxW4ONoT76_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.04099988937, 3.51300001144
CHALLENGE_a3cPL4zEvuXd77KU0ASJcZf3HP61rm.png, True, (100, -270), 34x0x, 0x8ex34x0x, CHALLENGE_a3cPL4zEvuXd77KU0ASJcZf3HP61rm_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.93000006676, 3.40400004387
CHALLENGE_7yNwr5QztlXNsrrb3SWrRX6IB77W3F.png, False, (130, -160), 42x3ex, 0x8ex42x3ex, CHALLENGE_7yNwr5QztlXNsrrb3SWrRX6IB77W3F_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.40400004387, 3.45199990273
CHALLENGE_Jl8FidnICxLitN7ByVlueNo1zTTnGZ.png, False, (140, -130), 4cx4cx, 0x8ex4cx4cx, CHALLENGE_Jl8FidnICxLitN7ByVlueNo1zTTnGZ_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.93700003624, 3.30800008774
CHALLENGE_upqaeXgoVP0fK0W86ebynaxqN5yS6W.png, True, (180, -240), 5kxux, 0x8ex5kxux, CHALLENGE_upqaeXgoVP0fK0W86ebynaxqN5yS6W_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.76900005341, 3.50099992752
CHALLENGE_gKEIgMS4MQyWV9PGVVQGMBkBBl93hO.png, False, (120, -170), 3ox34x, 0x8ex3ox34x, CHALLENGE_gKEIgMS4MQyWV9PGVVQGMBkBBl93hO_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.00300002098, 3.77799987793
CHALLENGE_pxC7Wwi4qGZuOKt9TwTTahLPbEugOx.png, False, (130, -140), 42x42x, 0x8ex42x42x, CHALLENGE_pxC7Wwi4qGZuOKt9TwTTahLPbEugOx_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.71300005913, 3.6930000782
CHALLENGE_efMki6HbPJzuf1ENzNXSc7uDAHJ2uJ.png, True, (140, -160), 4cx3ex, 0x8ex4cx3ex, CHALLENGE_efMki6HbPJzuf1ENzNXSc7uDAHJ2uJ_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.93700003624, 3.57099986076
CHALLENGE_ehcWRgWC4t7v9OgUfzlzJiiLNuoKMc.png, False, (130, -140), 42x42x, 0x8ex42x42x, CHALLENGE_ehcWRgWC4t7v9OgUfzlzJiiLNuoKMc_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.73199987411, 3.43700003624
CHALLENGE_0QRPNneIe7hBpwd6v4KgQQNNJETrTs.png, True, (240, -220), 7gx1ix, 0x8ex7gx1ix, CHALLENGE_0QRPNneIe7hBpwd6v4KgQQNNJETrTs_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.12299990654, 3.48600006104
CHALLENGE_ULnnnu53TPOV9IDWVrLknxLHa6l9SB.png, True, (-10, -250), -axkx, 0x8ex-axkx, CHALLENGE_ULnnnu53TPOV9IDWVrLknxLHa6l9SB_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.34799981117, 3.77300000191
CHALLENGE_RmOhPeM0o1GGe3BzG5D9unn1QIgvfS.png, True, (10, -280), ax-ax, 0x8exax-ax, CHALLENGE_RmOhPeM0o1GGe3BzG5D9unn1QIgvfS_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.82899999619, 4.15499997139
CHALLENGE_onDHgcIFkP6oVfe6ZLnHmZsWrT0DHa.png, False, (220, -180), 6sx2qx, 0x8ex6sx2qx, CHALLENGE_onDHgcIFkP6oVfe6ZLnHmZsWrT0DHa_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.46899986267, 4.01600003242
CHALLENGE_Q5v3RNJmDMuwGovd8Rm4Apg14sgtL0.png, False, (50, -180), 1ix2qx, 0x8ex1ix2qx, CHALLENGE_Q5v3RNJmDMuwGovd8Rm4Apg14sgtL0_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.65600013733, 3.95899987221
CHALLENGE_zke3R7wlkvxKZQDGzgDb3LZhykJaZs.png, True, (60, -140), 1sx42x, 0x8ex1sx42x, CHALLENGE_zke3R7wlkvxKZQDGzgDb3LZhykJaZs_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.88800001144, 4.18899989128
CHALLENGE_tvWI2uBryUH2pNCpT9fHxKki8X1QR5.png, False, (150, -140), 4mx42x, 0x8ex4mx42x, CHALLENGE_tvWI2uBryUH2pNCpT9fHxKki8X1QR5_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.20499992371, 4.03400015831
CHALLENGE_QTWWI1qTouzTF07ptMaO4yVyt0rDQy.png, True, (-10, -140), -ax42x, 0x8ex-ax42x, CHALLENGE_QTWWI1qTouzTF07ptMaO4yVyt0rDQy_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.59899997711, 4.23699998856
CHALLENGE_amAtghzuKKtAQA5DzT1PTyzetVUcuy.png, False, (130, -170), 42x34x, 0x8ex42x34x, CHALLENGE_amAtghzuKKtAQA5DzT1PTyzetVUcuy_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.11000013351, 4.19099998474
CHALLENGE_VtphQszqlduWdD3Kkzkqhxr6ft4T2z.png, False, (150, -140), 4mx42x, 0x8ex4mx42x, CHALLENGE_VtphQszqlduWdD3Kkzkqhxr6ft4T2z_answer<NUM>.png, jpeg-size-solver-q-10, , [], 5.64599990845, 4.40700006485
